,Gene,IEI_Interactor
37,XRCC6,"ACD, ATRX, BRCA1, BRCA1, CD40, CDK9, CEBPA, CEBPA, CLU, CLU, CLU, CLU, CLU, CLU, CREBBP, CREBBP, CREBBP, CREBBP, EP300, EP300, FANCD2, HELLS, HNRNPK, HYOU1, IKBKG, ISG15, KIF23, KIF23, KRAS, KRAS, LIG4, MRE11, MRE11, MRE11, MRE11, MSH2, MSH6, NCF4, NCF4, PDX1, PDX1, PRKDC, PRKDC, PRKDC, PRKDC, PRKDC, PRKDC, PSMA3, PTEN, RC3H1, RC3H1, RECQL4, RECQL4, RIT1, RNF31, RPS10, RPSA, RUNX1, SMAD3, TERF2, TERF2IP, TERF2IP, TERF2IP, THRA, THRB, TONSL, TONSL, TP53, TP53, TP53, VAV1, VAV1, VAV1"
38,TERF2,"ACD, ATM, ATM, BLM, BLM, BLM, BRCA1, BRCA1, BRCA1, BRCA1, CAVIN1, CAVIN1, DCLRE1B, DCLRE1B, DCLRE1B, EP300, EP300, KRAS, MRE11, MRE11, NBN, NBN, NLRP7, POT1, POT1, POT1, POT1, POT1, POT1, POT1, RAD50, RIT1, RPL35A, SLX4, SLX4, SLX4, SLX4, SLX4, SLX4, SLX4, SLX4, SLX4, SLX4, TERF2, TERF2, TERF2, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TERF2IP, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2"
39,RGS3,"ACD, ISG15"
40,LRRC25,"ACD, FPR2"
41,ADPRH,ACD
42,STUB1,"ACD, APP, CARD11, CD4, CFTR, CFTR, DNAAF4, F12, FADD, FOXP3, FOXP3, HAX1, HSPA1L, HSPA1L, HSPA9, IKZF1, INO80, IRAK1, JAK3, LCK, MYH9, NFKB1, NLRP3, NOD2, NOS2, POT1, PTEN, PTEN, PTEN, PTEN, RAF1, RAF1, RAF1, RECQL4, RUNX1, RUNX1, RUNX1, SMAD3, SMAD3, SMAD3, SP110, TERF2, TGFB1, TINF2, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP63, TP63, XIAP"
43,APOBEC3F,"ACD, RPL19, TINF2"
44,FKBP6,"ACD, TINF2"
45,TRIM15,"ACD, APOA1, APOA1, BLM, TINF2"
46,CTTN,"ACD, ACTB, ACTB, CDK9, MLH1, MYH9, NCF1, PPP1CB, RECQL4, SART3, SRC, SRC, SRC, STAT1, SYK, SYK, TINF2"
47,STIP1,"ACD, BRCA1, CDK9, DNAI2, DNAI2, DOCK8, EP300, FNIP1, HAX1, HSPA1L, IRAK1, IRAK1, KDM1A, LCK, MAP3K8, MSN, NOS2, OFD1, POT1, PSMA3, PSMA3, PTEN, PTEN, PTPN11, RECQL4, RHOG, TP53"
48,IVL,"ACD, ERCC3, FANCD2, MPI, MPI, PI4KA, POT1, SLC37A4"
49,RBKS,"ACD, POT1"
50,ENSA,"ACD, POT1, PSEN1"
51,EIF3G,"ACD, BRCA1, CD81, EP300, EP300, HTR1A, KRAS, KRAS, NFE2L2, POT1, RBM8A, RECQL4, RPL10, RPL5, RUNX1, SRP72, TP53"
52,YWHAE,"ACD, ACTB, BRAF, BRAF, BRAF, BRAF, BRAF, BRAF, BRCA1, CBL, CBL, CD28, CDC42, CFTR, FANCD2, G6PD, IFNAR1, KIF23, KRAS, KRAS, KRAS, KRT8, MAP2K1, MAP2K1, MAP2K1, MAP2K2, NOS2, PIK3R1, POT1, RAF1, RAF1, RAF1, RAF1, RAF1, RAF1, RC3H1, RECQL4, RIPK2, RIPK2, RNF31, SAR1B, SHOC2, TET2, TGFB1, TNFAIP3, TNFAIP3, TP53, TP53, UBA1"
53,PDLIM2,"ACD, POT1, RAF1, TGFB1"
54,TUBB2A,"ACD, CD81, FAS, FAS, FAS, GBA1, IL12RB1, IRF7, KRT8, POT1, PSMA3, PTEN, RECQL4, RUNX1, TP53, TP53, TP53, UNC93B1"
55,IPO5,"ACD, BRCA1, CDC42, CFTR, DOCK8, DTNBP1, EP300, EP300, FAS, IRF3, KIF23, KRAS, LYN, MAP3K14, NBN, OFD1, PTEN, RAG2, RANBP2, RECQL4, RECQL4, TINF2, UBA1, UNC93B1"
56,DPYSL3,"ACD, FANCM, HAX1, HAX1, HAX1, MSH2, NEUROG3, POT1"
57,TBCD,"ACD, IL17RA, KRAS, KRAS, KRAS, OSTM1, PDCD1, POT1, RAC1, RIT1, STAT1"
58,TBC1D10A,"ACD, FERMT3, HRAS, KRAS, KRAS, TERF2IP"
59,LGALSL,"ACD, TERF2IP, TINF2"
60,ANKMY2,"ACD, CTSC, DNAAF1, POT1, RECQL4, STAT5B, TINF2"
61,NCDN,"ACD, CD40, CD70, LYST, POT1, RFXANK, TINF2"
62,PEX5,"ACD, ATM, ATM, BRCA1, CD93, FAS, IFNG, KRT8, MYH9, POT1, TINF2"
63,RPSA,"ACD, BRCA1, CD4, DKC1, DKC1, FANCD2, KRAS, NLRP7, NOP10, POT1, PROS1, PSMA3, RBM8A, RBM8A, RC3H1, RECQL4, RIPK1, RIT1, RPL10, RPL10, RPL10, RPL11, RPL11, RPL11, RPL15, RPL18, RPL18, RPL19, RPL19, RPL19, RPL27, RPL36, RPL5, RPL5, RPL5, RPL9, RPL9, RPS10, RPS10, RPS14, RPS14, RPS15, RPS15A, RPS17, RPS19, RPS19, RPS19, RPS24, RPS24, RPS26, RPS27A, RPS28, RPS28, RPS29, RPS7, SRP72, TINF2, TP63"
64,FAM131B,"ACD, POT1, TINF2"
65,NUDC,"ACD, ATP6AP1, BRCA1, DGKE, EP300, KRAS, LCK, OFD1, POLD1, POT1, RECQL4, RHOG, RIT1, RPGR, TINF2"
66,AIPL1,"ACD, BLM, POT1, TINF2, TP53"
67,TAGLN,"ACD, CDC42, ISG15, NCF1, POT1, TINF2"
68,BAG3,"ACD, ACTB, CFTR, F12, HSPA1L, IRAK1, KIF23, LCK, MAP2K2, POT1, SPINT2, SPINT2, SPINT2, TERF2, TINF2"
69,ACTB,"ACD, ACTB, ACTB, ACTB, ACTB, ACTB, ACTB, ACTB, ACTB, ACTG1, ADA, APP, CBL, CBL, CD93, CDK9, CDKN2A, CREBBP, CYBB, EP300, FANCD2, FPR1, GSN, HCK, HSPA9, IFNG, IL23R, INO80, ISG15, KRAS, MRTFA, MYH9, MYH9, MYH9, NCF1, NCF1, NFE2L2, PLG, PLG, PLG, POT1, PPP1CB, PSMA3, PSMA3, PSMA3, PSMB10, PSTPIP1, RECQL4, RIT1, RNF31, RPL15, RPL35A, RPS27, RUNX1, SAMHD1, SMAD3, TET2, THRB, THRB, TINF2, TP53, TP53, TTR, WDR1"
70,HSP90AB1,"ACD, AICDA, AIRE, BRAF, BRAF, BRAF, BRCA1, BTK, CD4, CDK9, CDK9, CDK9, CDK9, CDK9, CDK9, CDKN2A, CFTR, FANCA, FANCA, FANCD2, GTF2E2, HAX1, HCK, IKBKG, IKBKG, ISG15, ISG15, ITK, JAK2, KIF23, KRAS, LCK, LYN, MAP2K1, MAP2K2, MAP2K2, MAP3K14, MYH9, NOS2, PLA2G4A, POT1, PSMA3, PSMA3, PTEN, PTEN, RAF1, RAF1, RECQL4, RNF31, SRC, STAT1, TET2, TINF2, TP53, TP53, TP63, UNC45A"
71,RECQL4,"ACD, BRCA1, EP300, EP300, EP300, F12, MCM10, MRE11, NEUROG3, NEUROG3, POT1, PRKACG, RECQL4, RFXANK, TERF2IP, WRAP53"
72,388536,"ACD, POT1, TINF2"
73,EIF4B,"ACD, KRAS, NLRP7, OTUD6B, POT1, RBM8A, RC3H1, RC3H1, RECQL4, RNF113A, RNF31, RPL5, SAMHD1, SMAD3, TBK1, TINF2, TP53"
74,DBN1,"ACD, ACTB, BTK, CDK9, CFTR, KIF23, MTHFD1, MYH9, POT1, PPP1CB, PTEN, RAC2, RHOH, RNF168, STAT1, STAT5B, TINF2, TP53, UBR5"
75,TUBB4B,"ACD, AICDA, AIRE, BRCA1, BTK, CBL, CD81, CDC42, CDK9, CDK9, CDKN2A, FANCD2, FAS, GBA1, IL12RB1, LCK, MAP2K2, OSTM1, POT1, PSMA3, PTEN, PTEN, RAF1, RECQL4, RECQL4, RNF31, RPGR, RPS15A, TINF2, TP53, TUBB1, VAV1"
76,DCX,"ACD, HAX1, HAX1, HAX1, IKZF1, POT1, TINF2"
77,DBNL,"ACD, ACTB, CFTR, FGB, GTF2E2, GTF2E2, POT1, RPL35A, SAR1B, SH3BP2, SH3BP2, TERF2IP, ZAP70, ZAP70, ZAP70"
78,SULT1C2,"ACD, OTULIN, POT1, TINF2"
79,ENO2,"ACD, MSN, POT1, PTEN, TINF2, WDR1"
80,ANXA8L1,"ACD, TERF2IP, TINF2"
81,LDHA,"ACD, BRCA1, CFTR, DOCK8, EP300, FANCD2, HSPA9, ISG15, LIG4, NLRP7, POT1, PSMA3, PTEN, RECQL4, SAR1B, TET2, TINF2, TP53, WDR1"
82,TRIM16,"ACD, POT1, SLC39A4, TINF2"
83,TOMM34,"ACD, GTF2E2, GTF2E2, HSPA1L, LCK, POT1, RECQL4, RPL35A, TINF2, UNC45A"
84,PGM2,"ACD, POT1, TINF2, TRAF3"
85,LASP1,"ACD, ACTB, CD81, CDK9, EP300, FBF1, HAX1, HAX1, HAX1, POT1, RPL35A, STAT1, STAT3, TINF2"
86,PFKP,"ACD, BRCA1, CD81, CDC42, KRAS, LCK, MECOM, PIK3R1, POT1, RAC1, RHOH, TINF2"
87,CKB,"ACD, ACTN1, DOCK8, HAX1, LZTR1, MLH1, POT1, PSMA3, RC3H1, RECQL4, RET, RET, SOS2, TINF2, UNC93B1"
88,ZFP36L1,"ACD, POT1, RBM8A, TINF2"
89,NUDCD2,"ACD, ACTB, MYH9, POT1, RPGR, TGFB1, TINF2"
90,PAGE2,"ACD, POT1, TINF2"
91,SBDS,"ACD, EFL1, FCGRT, FERMT1, FGB, FGB, GTF2E2, GTF2E2, KRAS, POT1, RIT1, RPL35A, TERF2IP, TP53, UNC45A"
92,GAPDH,"ACD, APP, BRCA1, BTK, CBL, CD4, CD81, CDK9, CDKN2A, EP300, FANCD2, HSPA9, ISG15, ISG15, KIF23, KRAS, KRAS, LIG4, NLRP2, PIK3R1, POT1, PSEN1, PSMA3, RECQL4, RIT1, SAR1B, TET2, TINF2, TP53, TP53, TRAP1, TRAP1"
93,AFAP1L2,"ACD, NRAS, POT1, SRC, TERF2, TINF2"
94,TERF2IP,"ACD, ACD, BRCA1, BRCA1, DCLRE1B, DCLRE1B, FAS, MRE11, NBN, POT1, POT1, POT1, PTEN, RAD50, RECQL4, SLX4, SLX4, SLX4, SLX4, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2, TERF2IP, TINF2, TINF2, TINF2, TINF2, TINF2, TINF2"
95,POF1B,"ACD, ACD, CFAP298, CFAP298, CFAP298, CFTR, ERCC3, FANCD2, PI4KA, PTEN, RNF31, SLC37A4"
96,IGHG2,"ACD, TET2, TP53"
97,USP7,"ACD, AICDA, BRCA1, BRCA1, CHEK2, EP300, ERCC3, ERCC3, FOXP3, GATA1, GATA1, GATA3, IFNAR1, IKBKG, IKBKG, IKZF1, IKZF1, KDM1A, KDM1A, KDM1A, KIF23, KIF23, KRAS, MRE11, MRE11, MRE11, MYD88, MYD88, NBN, NBN, NBN, NBN, NSMCE3, PTEN, PTEN, PTEN, PTEN, RAD50, RAD50, RECQL4, RECQL4, RECQL4, REL, RELA, RELA, RELB, RIT1, SH3KBP1, SHOC2, SLC9A3, SMAD3, SMAD3, SMAD3, SRC, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TPP1, TRAF3, TRAF5, WDR1, WDR1, WRAP53"
98,NTAQ1,"ACD, ACTB, ACTB, ACTG1, BLOC1S6, COG6, ETV6, STN1, STX11, TRAF3, TRAF5, XIAP"
99,FBXW7,"ACD, BLM, BLM, BLM, BRAF, CCDC65, CCDC65, CSF3R, DCLRE1C, GATA2, GATA2, GATA3, GATA3, GFI1, GFI1, GFI1, KDM1A, KMT2D, KRAS, NFKB2, NFKB2, NFKB2, NFKBIA, PSEN1, PTEN, PTPN11, RELB, SHOC2, SPI1, SPI1, STAT2, STAT3, TP53, TP53, TP63"
100,KEAP1,"ACD, APP, APP, BCL11B, CHUK, CLU, FERMT3, GLRX5, IKBKB, IKBKB, IKBKB, IL17F, NAF1, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, PALB2, PALB2, PALB2, PALB2, PALB2, PALB2, RAF1, RAF1, RELA, SLX4, STK4, STK4, TET2, TNFRSF6B, WDR1"
101,UPF1,"ACD, ADAR, ATR, BRCA1, CFTR, EP300, EP300, HRAS, KIF23, KRAS, POLD1, PTEN, RBM8A, RBM8A, RBM8A, RBM8A, RC3H1, RC3H1, RC3H1, RECQL4, RPL26, RPL5, STIM1, TP53, UBR5"
102,54978,"ACP5, NPC1, ORAI1, PSMG2"
103,HSPA5,"ACP5, ACP5, ADIPOQ, AICDA, AIRE, AIRE, APOA2, APP, BRAF, BRAF, BRAF, BRAF, BRCA1, C1QC, C8A, CBL, CBL, CD48, CD8A, CDK9, CFB, CFTR, CLU, CLU, CLU, COLEC11, COLEC11, COPA, CRP, EIF2AK3, EIF2AK3, EP300, EP300, EP300, FANCD2, FAS, FCN1, FCN3, HAX1, HCK, HYOU1, IGHG2, IGHM, IL12RB1, IL12RB1, IL12RB1, KRAS, LCK, LCT, LRRC32, LRRC32, MAP2K2, MBTPS1, MSN, NOS2, PSEN1, PSMA3, PSMA3, PSMA3, PTPN11, RAF1, RC3H1, RC3H1, RECQL4, RELA, RELA, RIT1, RNF31, RUNX1, SERPING1, SH3KBP1, SRC, STK4, TAFAZZIN, TCN2, TGFB1, TNFRSF6B, TNFSF13, TP53, TP53, TP53, TP53, TP63, TRAP1, UBE2T, UBE2T"
104,KLHL15,"ACP5, ACP5, ACP5, CAVIN1, CAVIN1, DCLK1"
105,CIZ1,"ACP5, ACP5, ACP5, SH3KBP1, TERF2IP"
106,ACP5,ACP5
107,CALR,"ACP5, CD40, CFB, CFTR, COPA, EP300, FGB, HRAS, INAVA, KRAS, MBL2, MSN, PSMA3, PTPN11, PTPN22, TAP1, TAP1, TAP1, TAPBP, WDR1"
108,SELENOF,"ACP5, UNC93B1"
109,UGGT1,"ACP5, BRCA1, CD40, CFTR, NPC1, PIK3R1, RAB27A, RECQL4, UNC45A, UNC93B1"
110,CLGN,"ACP5, CD3D, FCGR3B, LIPA, MBTPS1, SEC61A1, TAFAZZIN, UNC93B1"
111,COA7,"ACP5, CLPB, HTRA2, KRAS, LIG4, MPLKIP, RIT1"
112,OS9,"ACP5, CD48, HYOU1, IL12RB1, SAMHD1, TAFAZZIN, UNC93B1"
113,PDIA3,"ACP5, CFTR, CLU, DOCK8, EP300, FANCD2, FBF1, HNRNPK, KIF23, OFD1, RECQL4, SEC61A1, SOS2, TAP1, TAP1, TAP1, TAP1, TAP1, TGFB1, TRAP1"
114,CANX,"ACP5, APP, CD3D, CD3D, CD3D, CDC42, CFTR, CFTR, CFTR, CLU, COPA, DNASE2, DNASE2, F8, FANCD2, GBA1, GBA1, GBA1, ISG15, KRAS, LCT, MBTPS1, POMP, RAC1, RAC2, RECQL4, RFWD3, RHOG, RHOH, RNF113A, STIM1, TAP1, TAP1, TCF3, TFRC, TGFB1, TP53, TPP1, UNC93B1"
115,SEL1L,"ACP5, C1QA, C4BPB, CD48, HYOU1, HYOU1, IGHM, MYH9, NPC1, RET, TP53, UNC93B1, UNC93B1"
116,P4HB,"ACP5, BRAF, BRCA1, CDK9, CFTR, CXCR4, FANCD2, ITGB3, KIF23, MSN, PSMA3, RBM8A, RC3H1, RECQL4, RIPK1, SAR1B, TGFB1"
117,SDF4,"ACP5, MAD2L2, PTPN22, RAP1B, TTR"
118,GANAB,"ACP5, BRCA1, CDC42, CDK9, CFTR, COPA, EP300, FANCD2, IL12RB1, ISG15, PSMA3, PTPRC, PTPRC, PTPRC, PTPRC, PTPRC, RAC2, RECQL4, RHOH, SAMHD1, SAR1B, TERF2, TFRC, TFRC, TGFB1, TP53"
119,NGLY1,"ACP5, CD79A"
120,IGF2R,"ACP5, CDC42, EP300, HRAS, KRAS, KRAS, KRAS, KRAS, MAD2L2, MAN2B1, NPC1, NRAS, NRAS, RAC1, RAC2, RHOG, RHOH, STIM1"
121,CFL1,"ACTB, ACTB, ACTB, ACTB, ACTB, ACTB, ACTG1, ACTG1, ACTG1, APP, CD81, CDK9, CFTR, FANCD2, FAS, HSPA9, IRGM, ISG15, ISG15, KIF23, KRAS, KRAS, MYH9, NUP214, POT1, PPP1CB, PSEN1, PTEN, RECQL4, SRC, VAV1, WDR1"
122,CFL2,"ACTB, ACTB, ACTB, ACTB, ACTB, ACTB, ACTG1, ACTG1, ACTG1, ACTG1, ACTG1, CD81, CDC42, KIF23, MAD2L2, MYH9, POT1, PPP1CB, PSMB10, WDR1"
123,DSTN,"ACTB, ACTB, ACTB, ACTB, ACTB, ACTG1, ACTG1, CDK9, CFTR, HTRA2, ISG15, LCK, MYH9, PPP1CB, SAMHD1, WDR1"
124,ACTG1,"ACTB, ACTB, ACTB, ACTB, ACTB, ACTG1, ACTG1, ACTG1, ACTG1, AICDA, BRCA1, CDK9, CDKN2A, FADD, FANCD2, HRAS, IKBKG, ISG15, KRAS, LIG4, MLH1, MLH1, MYH9, PPP1CB, PSMA3, RC3H1, RC3H1, TGFB1, TP53, WIPF1"
125,NCALD,"ACTB, HAX1, HAX1, HAX1"
126,12465,"ACTB, CFTR, PTEN"
127,12469,ACTB
128,15511,"ACTB, DNAAF4"
129,NCF1,"ACTB, CYBA, FASLG, GP1BB, GP1BB, MSN, MSN, NCF1, NCF2, NCF2, NCF2, NCF2, NCF4, PLA2G4A, PLA2G4A, PRKCD, PRKDC, PTEN"
130,RAC1,"ACTB, C1QA, C1QA, DEF6, DOCK8, HTRA2, KRAS, KRAS, MYD88, MYD88, NCF2, NCF2, NCF2, NCF2, NOS2, RAC1, RAC1, RAC1, RHOG, RIT1, SOS1, TNFRSF1A, WAS, XIAP, XIAP, XIAP"
131,RAC2,"ACTB, CD81, CFTR, DEF6, FANCD2, NCF2, NCF2, NOS2, NOS2, RAC1"
132,PCYT1B,ACTB
133,CCT5,"ACTB, ACTB, ACTG1, BRCA1, CDK9, CDK9, CFTR, DNAI2, DNAI2, IRAK1, IRF7, KRAS, KRAS, KRAS, LCK, NOS2, POLD1, PSMA3, PTPN11, RAF1, RECQL4, RFWD3, RNF31, TP53, TP53, TP53, TP53, TYK2, WRAP53"
134,CCT2,"ACTB, ACTB, ACTG1, BRCA1, CDK9, CFTR, DNAI2, DNAI2, IGHG2, IRAK1, IRF7, ISG15, ISG15, JAK3, KRAS, KRAS, LCK, LCK, MAPK8, NOS2, PSMA3, PSMA3, PSMB8, PTEN, RAF1, RECQL4, RFWD3, RIT1, TCF3, TGFB1, TP53, TP53, TP53, TP53, TYK2, WRAP53"
135,SSH1,"ACTB, INSR"
136,SSH2,"ACTB, MYH9, PPP1CB"
137,ESR1,"ACTB, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, CEBPA, CHUK, CREBBP, CREBBP, CREBBP, CREBBP, CREBBP, EP300, EP300, EP300, EP300, EP300, EP300, EP300, EP300, EP300, EP300, KDM1A, KMT2D, MSH2, PIK3R1, PSMB9, PTEN, RAD51, RBCK1, RBCK1, RBCK1, RBCK1, RELA, RNF31, SMAD3, SRC, SRC, SRC, SRC, SRC, SRC, SRC, SRC, SRC, SRC, STAT5A, TP53, TP53, TP53, TRAF3"
138,ACTR3,"ACTB, ACTB, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, CDC42, CDK9, CFTR, CORO1A, DNAAF5, KRAS, MYH9, NPC1, PPP1CB, PUS1, STAT1, TFRC"
139,ACTR2,"ACTB, ACTB, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, ARPC1B, CDC42, CORO1A, EFL1, EP300, FANCD2, KRAS, KRAS, KRAS, MECOM, MYH9, NPC1, PPP1CB, PSMB10, RECQL4"
140,HMMR,"ACTB, BRCA1, BRCA1, BRCA1, CCDC40, CCDC40, EP300, JAK2, KIF23, SLC39A7, TBK1, TGFBR1"
141,CCN2,ACTB
